raw,TOT_NT,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT
10,,31,37,34,33,35,39,39,36
11,,35,42,39,39,39,44,44,41
12,,38,46,43,43,43,49,49,45
13,,42,50,47,47,47,53,52,48
14,,45,53,50,51,49,56,56,51
15,,47,55,52,54,52,59,58,54
16,,50,58,55,56,54,61,61,56
17,,52,60,57,58,56,64,63,58
18,,54,62,58,60,58,66,65,60
19,,56,63,60,62,60,67,66,61
20,,58,65,61,64,61,69,68,63
21,,60,66,63,65,62,70,69,64
22,,62,67,64,67,64,72,71,65
23,,63,68,65,68,65,73,72,66
24,,65,69,66,69,66,74,73,67
25,,66,70,67,70,67,75,74,68
26,,68,71,68,71,68,75,75,69
27,,69,72,68,72,69,75,75,69
28,,70,73,69,73,69,75,75,70
29,,72,73,70,73,70,75,75,71
30,,72,74,70,73,71,75,75,71
31,,74,74,71,75,71,75,75,72
32,,75,74,71,75,71,75,75,72
33,,75,74,71,75,73,75,75,72
34,,75,74,71,75,73,75,75,72
35,,75,74,71,75,73,75,75,72
36,,75,74,71,75,73,75,75,72
37,,75,74,74,75,73,75,75,72
38,,75,74,74,75,73,75,75,72
39,,75,74,74,75,73,75,75,72
40,,75,75,74,75,73,75,75,72
41,,,,,,,,,
42,,,,,,,,,
43,,,,,,,,,
44,,,,,,,,,
45,,,,,,,,,
46,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
49,,,,,,,,,
50,,,,,,,,,
51,,,,,,,,,
52,,,,,,,,,
53,,,,,,,,,
54,,,,,,,,,
55,,,,,,,,,
56,,,,,,,,,
57,,,,,,,,,
58,,,,,,,,,
59,,,,,,,,,
60,32,,,,,,,,
61,33,,,,,,,,
62,35,,,,,,,,
63,36,,,,,,,,
64,37,,,,,,,,
65,38,,,,,,,,
66,38,,,,,,,,
67,39,,,,,,,,
68,40,,,,,,,,
69,41,,,,,,,,
70,42,,,,,,,,
71,43,,,,,,,,
72,44,,,,,,,,
73,44,,,,,,,,
74,45,,,,,,,,
75,46,,,,,,,,
76,47,,,,,,,,
77,47,,,,,,,,
78,48,,,,,,,,
79,49,,,,,,,,
80,49,,,,,,,,
81,50,,,,,,,,
82,50,,,,,,,,
83,51,,,,,,,,
84,52,,,,,,,,
85,52,,,,,,,,
86,53,,,,,,,,
87,53,,,,,,,,
88,54,,,,,,,,
89,54,,,,,,,,
90,55,,,,,,,,
91,55,,,,,,,,
92,56,,,,,,,,
93,56,,,,,,,,
94,57,,,,,,,,
95,57,,,,,,,,
96,58,,,,,,,,
97,58,,,,,,,,
98,58,,,,,,,,
99,59,,,,,,,,
100,59,,,,,,,,
101,60,,,,,,,,
102,60,,,,,,,,
103,61,,,,,,,,
104,61,,,,,,,,
105,61,,,,,,,,
106,62,,,,,,,,
107,62,,,,,,,,
108,62,,,,,,,,
109,63,,,,,,,,
110,63,,,,,,,,
111,63,,,,,,,,
112,64,,,,,,,,
113,64,,,,,,,,
114,64,,,,,,,,
115,65,,,,,,,,
116,65,,,,,,,,
117,65,,,,,,,,
118,65,,,,,,,,
119,66,,,,,,,,
120,66,,,,,,,,
121,66,,,,,,,,
122,67,,,,,,,,
123,67,,,,,,,,
124,67,,,,,,,,
125,67,,,,,,,,
126,67,,,,,,,,
127,67,,,,,,,,
128,68,,,,,,,,
129,68,,,,,,,,
130,69,,,,,,,,
131,69,,,,,,,,
132,69,,,,,,,,
133,69,,,,,,,,
134,70,,,,,,,,
135,70,,,,,,,,
136,70,,,,,,,,
137,70,,,,,,,,
138,70,,,,,,,,
139,71,,,,,,,,
140,71,,,,,,,,
141,71,,,,,,,,
142,71,,,,,,,,
143,71,,,,,,,,
144,71,,,,,,,,
145,72,,,,,,,,
146,72,,,,,,,,
147,72,,,,,,,,
148,72,,,,,,,,
149,73,,,,,,,,
150,73,,,,,,,,
151,73,,,,,,,,
152,73,,,,,,,,
153,73,,,,,,,,
154,73,,,,,,,,
155,74,,,,,,,,
156,74,,,,,,,,
157,74,,,,,,,,
158,74,,,,,,,,
159,74,,,,,,,,
160,74,,,,,,,,
161,74,,,,,,,,
162,74,,,,,,,,
163,75,,,,,,,,
164,75,,,,,,,,
165,75,,,,,,,,
166,75,,,,,,,,
167,75,,,,,,,,
168,75,,,,,,,,
169,75,,,,,,,,
170,75,,,,,,,,
171,75,,,,,,,,
172,75,,,,,,,,
173,75,,,,,,,,
174,75,,,,,,,,
175,75,,,,,,,,
176,75,,,,,,,,
177,75,,,,,,,,
178,75,,,,,,,,
179,75,,,,,,,,
180,75,,,,,,,,
181,75,,,,,,,,
182,75,,,,,,,,
183,75,,,,,,,,
184,75,,,,,,,,
185,75,,,,,,,,
186,75,,,,,,,,
187,75,,,,,,,,
188,75,,,,,,,,
189,75,,,,,,,,
190,75,,,,,,,,
191,75,,,,,,,,
192,75,,,,,,,,
193,75,,,,,,,,
194,75,,,,,,,,
195,75,,,,,,,,
196,75,,,,,,,,
197,75,,,,,,,,
198,75,,,,,,,,
199,75,,,,,,,,
200,75,,,,,,,,
201,75,,,,,,,,
202,75,,,,,,,,
203,75,,,,,,,,
204,75,,,,,,,,
205,75,,,,,,,,
206,75,,,,,,,,
207,75,,,,,,,,
208,75,,,,,,,,
209,75,,,,,,,,
210,75,,,,,,,,
211,75,,,,,,,,
212,75,,,,,,,,
213,75,,,,,,,,
214,75,,,,,,,,
215,75,,,,,,,,
216,75,,,,,,,,
217,75,,,,,,,,
218,75,,,,,,,,
219,75,,,,,,,,
220,75,,,,,,,,
221,75,,,,,,,,
222,75,,,,,,,,
223,75,,,,,,,,
224,75,,,,,,,,
225,75,,,,,,,,
226,75,,,,,,,,
227,75,,,,,,,,
228,75,,,,,,,,
229,75,,,,,,,,
230,75,,,,,,,,
231,75,,,,,,,,
232,75,,,,,,,,
233,75,,,,,,,,
234,75,,,,,,,,
235,75,,,,,,,,
236,75,,,,,,,,
237,75,,,,,,,,
238,75,,,,,,,,
239,75,,,,,,,,
240,75,,,,,,,,
